Disease,Medication
Fungal infection,"['Antifungal creams', 'Oral antifungals', 'Topical antifungals', 'Fluconazole', 'Itraconazole']"
Allergy,"['Antihistamines', 'Corticosteroids', 'Decongestants', 'Leukotriene modifiers', 'Immunotherapy']"
GERD,"['Proton pump inhibitors (PPIs)', 'H2 blockers', 'Antacids', 'Prokinetics', 'Antibiotics (for H. pylori)']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Vitamin K', 'Liver transplant', 'Corticosteroids']"
Drug Reaction,"['Antihistamines', 'Corticosteroids', 'Epinephrine', 'Antibiotics (if necessary)', 'Immunosuppressants']"
Peptic ulcer disease,"['Proton pump inhibitors (PPIs)', 'H2 blockers', 'Antacids', 'Antibiotics', 'Bismuth subsalicylate']"
AIDS,"['Antiretroviral therapy (ART)', 'NRTIs', 'NNRTIs', 'Protease inhibitors', 'Integrase inhibitors']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Gastroenteritis,"['Oral rehydration salts (ORS)', 'Antidiarrheal medications', 'Antiemetics', 'Antibiotics (if bacterial)', 'Probiotics']"
Bronchial Asthma,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Omalizumab', 'Cromolyn sodium']"
Hypertension,"['ACE inhibitors', 'ARBs', 'Beta-blockers', 'Diuretics', 'Calcium channel blockers']"
Migraine,"['Triptans', 'NSAIDs', 'Ergotamine', 'Beta-blockers', 'Antidepressants (e.g., amitriptyline)']"
Cervical spondylosis,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Steroid injections', 'Surgery']"
Paralysis (brain hemorrhage),"['Anticoagulants', 'Physical therapy', 'Antiepileptic drugs', 'Pain relievers', 'Neurorehabilitation']"
Jaundice,"['Phototherapy', 'Antibiotics (for infections)', 'Liver transplant', 'Cholestyramine', 'Vitamin K']"
Malaria,"['Antimalarial drugs', 'Chloroquine', 'Artemisinin-based combination therapy (ACT)', 'Mefloquine', 'Quinine']"
Chicken pox,"['Antihistamines', 'Acetaminophen', 'Calamine lotion', 'Acyclovir', 'Topical corticosteroids']"
Dengue,"['Acetaminophen', 'IV fluids', 'Electrolyte solutions', 'Pain relievers', 'Blood transfusions (severe cases)']"
Typhoid,"['Antibiotics', 'Ceftriaxone', 'Azithromycin', 'Chloramphenicol', 'Fluoroquinolones']"
Hepatitis A,"['Supportive care', 'Vitamin K', 'Antiemetics', 'Rehydration', 'Intravenous fluids']"
Hepatitis B,"['Antiviral medications', 'Tenofovir', 'Entecavir', 'Interferon', 'Peginterferon']"
Hepatitis C,"['Antiviral medications', 'Sofosbuvir', 'Ledipasvir', 'Daclatasvir', 'Ribavirin']"
Hepatitis D,"['Antiviral medications', 'Interferon', 'Peginterferon', 'Liver transplant', 'Supportive care']"
Hepatitis E,"['Supportive care', 'Antiemetics', 'Rehydration', 'Intravenous fluids', 'Liver transplant (in severe cases)']"
Alcoholic hepatitis,"['Corticosteroids', 'Pentoxifylline', 'Liver transplant', 'Supportive care', 'N-acetylcysteine']"
Tuberculosis,"['Antitubercular drugs', 'Rifampicin', 'Isoniazid', 'Pyrazinamide', 'Ethambutol']"
Common Cold,"['Decongestants', 'Antihistamines', 'Acetaminophen', 'Cough syrups', 'Zinc supplements']"
Pneumonia,"['Antibiotics', 'Antivirals', 'Oxygen therapy', 'Corticosteroids', 'Analgesics']"
Dimorphic hemorrhoids (piles),"['Topical corticosteroids', 'Sitz baths', 'Oral analgesics', 'Fiber supplements', 'Hemorrhoidectomy']"
Heart attack,"['Antiplatelet agents', 'Statins', 'Beta-blockers', 'ACE inhibitors', 'Nitroglycerin']"
Varicose veins,"['Compression stockings', 'Sclerotherapy', 'Laser therapy', 'Surgical removal', 'Venous ablation']"
Hypothyroidism,"['Levothyroxine', 'Liothyronine', 'Iodine supplements', 'Thyroid hormone replacement', 'Corticosteroids']"
Hyperthyroidism,"['Methimazole', 'Propranolol', 'Radioactive iodine', 'Thyroidectomy', 'Potassium iodide']"
Hypoglycemia,"['Glucose', 'Glucagon injection', 'Oral glucose', 'Dextrose', 'Corticosteroids (in adrenal insufficiency)']"
Osteoarthritis,"['Acetaminophen', 'NSAIDs', 'Corticosteroids', 'Hyaluronic acid injections', 'Joint replacement surgery']"
Arthritis,"['NSAIDs', 'Corticosteroids', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Methotrexate']"
(Vertigo) Paroxysmal Positional Vertigo,"['Epley maneuver', 'Meclizine', 'Betahistine', 'Antihistamines', 'Diazepam']"
Acne,"['Benzoyl peroxide', 'Salicylic acid', 'Topical retinoids', 'Oral antibiotics', 'Isotretinoin']"
Urinary tract infection,"['Antibiotics', 'Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Phenazopyridine', 'Fluoroquinolones']"
Psoriasis,"['Topical corticosteroids', 'Vitamin D analogs', 'Methotrexate', 'Biologics', 'Phototherapy']"
Impetigo,"['Topical antibiotics', 'Oral antibiotics', 'Mupirocin', 'Cephalosporins', 'Penicillin']"
Asthma,"['Inhaled corticosteroids', 'Beta-agonists', 'Leukotriene modifiers', 'Omalizumab', 'Cromolyn sodium']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Hepatitis,"['Antiviral therapy', 'Supportive care', 'Vitamin supplementation', 'Liver transplant', 'Interferons']"
Cough,"['Cough suppressants', 'Expectorants', 'Antihistamines', 'Decongestants', 'Antibiotics']"
Chronic bronchitis,"['Bronchodilators', 'Steroids', 'Mucolytics', 'Cough suppressants', 'Antibiotics']"
Influenza,"['Antivirals', 'Oseltamivir', 'Zanamivir', 'Acetaminophen', 'Rest and hydration']"
Bronchitis,"['Bronchodilators', 'Corticosteroids', 'Antibiotics', 'Expectorants', 'Cough suppressants']"
Cholera,"['Oral rehydration therapy', 'Antibiotics', 'Zinc supplementation', 'IV fluids', 'ORS']"
Typhus,"['Antibiotics', 'Doxycycline', 'Chloramphenicol', 'Tetracyclines', 'Supportive care']"
Chickenpox,"['Acetaminophen', 'Antihistamines', 'Calamine lotion', 'Acyclovir', 'Topical corticosteroids']"
Scarlet fever,"['Penicillin', 'Amoxicillin', 'NSAIDs', 'Antipyretics', 'Supportive care']"
HIV,"['Antiretroviral therapy', 'NRTIs', 'Protease inhibitors', 'Integrase inhibitors', 'NNRTIs']"
Mumps,"['Pain relievers', 'Fluids', 'Antipyretics', 'Rest', 'Vaccination']"
Hepatitis A,"['Supportive care', 'Antiemetics', 'Vitamin K', 'Rehydration', 'Intravenous fluids']"
Hepatitis B,"['Antivirals', 'Interferon', 'Tenofovir', 'Entecavir', 'Supportive care']"
Hepatitis C,"['Antivirals', 'Sofosbuvir', 'Ledipasvir', 'Ribavirin', 'Direct-acting antivirals']"
Leprosy,"['Dapsone', 'Rifampicin', 'Clofazimine', 'Supportive care', 'Steroids']"
Rheumatic fever,"['Antibiotics', 'Aspirin', 'NSAIDs', 'Corticosteroids', 'Penicillin']"
Zika virus,"['Supportive care', 'Pain relievers', 'Antihistamines', 'Hydration', 'Rest']"
West Nile virus,"['Antipyretics', 'Antihistamines', 'Pain relievers', 'Supportive care', 'Hydration']"
Meningitis,"['Antibiotics', 'Corticosteroids', 'Analgesics', 'Fluids', 'Vaccination']"
Rabies,"['Rabies vaccine', 'Rabies immune globulin', 'Supportive care', 'Sedatives', 'Pain relievers']"
Herpes,"['Acyclovir', 'Valacyclovir', 'Famciclovir', 'Topical antivirals', 'Pain relievers']"
Shingles,"['Acyclovir', 'Valacyclovir', 'Topical antivirals', 'Pain relievers', 'Corticosteroids']"
Lupus,"['Hydroxychloroquine', 'Steroids', 'Methotrexate', 'Immunosuppressants', 'NSAIDs']"
Celiac disease,"['Gluten-free diet', 'Vitamin supplements', 'Anti-inflammatory drugs', 'Corticosteroids', 'Immunosuppressants']"
Osteoarthritis,"['NSAIDs', 'Acetaminophen', 'Corticosteroids', 'Hyaluronic acid injections', 'Physical therapy']"
Rheumatoid arthritis,"['Methotrexate', 'Biologics', 'NSAIDs', 'Corticosteroids', 'DMARDs']"
Multiple sclerosis,"['Interferon', 'Glatiramer acetate', 'Corticosteroids', 'Immunosuppressants', 'Ocrelizumab']"
Parkinson's disease,"['Levodopa', 'Dopamine agonists', 'MAO-B inhibitors', 'COMT inhibitors', 'Physical therapy']"
Alzheimer's disease,"['Donepezil', 'Memantine', 'Rivastigmine', 'Galantamine', 'Cognitive therapy']"
Ebola,"['Supportive care', 'Antiviral drugs', 'Experimental treatments', 'Fluids', 'Pain management']"
Hantavirus,"['Supportive care', 'Oxygen therapy', 'Intensive care', 'Antiviral drugs', 'Hydration']"
Laryngitis,"['Voice rest', 'NSAIDs', 'Steroids', 'Humidifiers', 'Antibiotics (if bacterial)']"
Tetanus,"['Tetanus vaccine', 'Tetanus immune globulin', 'Antibiotics', 'Pain relievers', 'Surgical cleaning']"
Diphtheria,"['Antitoxin', 'Antibiotics', 'Diphtheria vaccine', 'Corticosteroids', 'Supportive care']"
Cystitis,"['Antibiotics', 'Phenazopyridine', 'NSAIDs', 'Fluids', 'Corticosteroids']"
Urinary tract infection,"['Antibiotics', 'Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Phenazopyridine', 'Fluoroquinolones']"
Whooping cough,"['Antibiotics', 'Macrolides', 'Corticosteroids', 'Diphtheria-tetanus-pertussis (DTP) vaccine', 'Cough suppressants']"
Rubella,"['Supportive care', 'Pain relievers', 'Antipyretics', 'Vaccine', 'Hydration']"
Sinusitis,"['Decongestants', 'Saline nasal spray', 'Antihistamines', 'Antibiotics', 'Corticosteroids']"
Gout,"['NSAIDs', 'Colchicine', 'Allopurinol', 'Probenecid', 'Corticosteroids']"
Hypertension,"['ACE inhibitors', 'ARBs', 'Beta-blockers', 'Diuretics', 'Calcium channel blockers']"
Anemia,"['Iron supplements', 'Folic acid', 'Vitamin B12', 'Erythropoiesis-stimulating agents', 'Blood transfusion']"
Panic attack,"['Benzodiazepines', 'SSRIs', 'SNRIs', 'Cognitive behavioral therapy', 'Beta-blockers']"
Chronic fatigue syndrome,"['Antidepressants', 'Pain relievers', 'Sleep aids', 'Exercise therapy', 'Cognitive behavioral therapy']"
Epilepsy,"['Antiepileptic drugs (AEDs)', 'Phenytoin', 'Carbamazepine', 'Valproic acid', 'Topiramate']"
Hodgkin's lymphoma,"['Chemotherapy', 'Radiation therapy', 'Stem cell transplant', 'Immunotherapy', 'Monoclonal antibodies']"
Leukemia,"['Chemotherapy', 'Stem cell transplant', 'Targeted therapy', 'Immunotherapy', 'Radiation therapy']"
Disease,"['Varies by condition', 'Depends on the disease']"
Cystic fibrosis,"['Pancreatic enzymes', 'Antibiotics', 'Lung transplant', 'CFTR modulators', 'Physical therapy']"
Adenovirus,"['Supportive care', 'Antivirals (for severe cases)', 'Antipyretics', 'Hydration', 'Rest']"
Sickle cell disease,"['Hydroxyurea', 'Pain relievers', 'Blood transfusions', 'Bone marrow transplant', 'Antibiotics']"
Gastroesophageal reflux disease (GERD),"['Proton pump inhibitors', 'H2 blockers', 'Antacids', 'Prokinetics', 'Antibiotics (for H. pylori)']"
Bipolar disorder,"['Lithium', 'Antipsychotics', 'Antidepressants', 'Mood stabilizers', 'Cognitive behavioral therapy']"
Osteoporosis,"['Bisphosphonates', 'Calcium supplements', 'Vitamin D', 'Selective estrogen receptor modulators (SERMs)', 'Calcitonin']"
Schizophrenia,"['Antipsychotic medications', 'Olanzapine', 'Risperidone', 'Clozapine', 'Antidepressants']"
Acid reflux,"['Proton pump inhibitors', 'H2 blockers', 'Antacids', 'Antiemetics', 'Dietary modifications']"
Hernia,"['Surgery', 'Laparoscopy', 'Pain relievers', 'Antibiotics (if infection)', 'Support garments']"
Irritable bowel syndrome (IBS),"['Antispasmodics', 'Laxatives', 'Antidiarrheals', 'Fiber supplements', 'Antidepressants']"
Anxiety disorder,"['SSRIs', 'SNRIs', 'Benzodiazepines', 'Cognitive behavioral therapy', 'Antidepressants']"
Chronic kidney disease,"['ACE inhibitors', 'Angiotensin receptor blockers', 'Diuretics', 'Dialysis', 'Kidney transplant']"
Lung cancer,"['Chemotherapy', 'Radiation therapy', 'Immunotherapy', 'Surgical resection', 'Tyrosine kinase inhibitors']"
Coronary artery disease,"['Statins', 'Aspirin', 'Beta-blockers', 'Angioplasty', 'Bypass surgery']"
Cirrhosis,"['Diuretics', 'Lactulose', 'Antiviral medications', 'Liver transplant', 'Vitamin K']"
Gallstones,"['Cholecystectomy', 'Ursodeoxycholic acid', 'Pain relievers', 'Lithotripsy', 'Cholecystostomy']"
Chronic pain,"['Pain relievers', 'Antidepressants', 'Anti-seizure medications', 'Physical therapy', 'Opioids (in some cases)']"
Liver fibrosis,"['Antiviral drugs', 'Interferon', 'Liver transplant', 'Supportive care', 'Antioxidants']"
Pelvic inflammatory disease (abdominal pain),"['Antibiotics', 'Pain relievers', 'IV fluids', 'Surgery (in severe cases)', 'Corticosteroids']"
Fibromyalgia,"['Antidepressants', 'Pain relievers', 'Anti-seizure drugs', 'Physical therapy', 'Cognitive behavioral therapy']"
COPD,"['Bronchodilators', 'Steroids', 'Oxygen therapy', 'Antibiotics (for infections)', 'Pulmonary rehabilitation']"
Parkinson's,"['Levodopa', 'Dopamine agonists', 'MAO-B inhibitors', 'COMT inhibitors', 'Physical therapy']"
Cushing's syndrome,"['Corticosteroids', 'Surgery', 'Medications to lower cortisol', 'Radiation therapy', 'Adrenalectomy']"
Bacterial vaginosis,"['Antibiotics', 'Metronidazole', 'Clindamycin', 'Probiotics', 'Hormonal treatment']"
Chronic lymphocytic leukemia,"['Chemotherapy', 'Immunotherapy', 'Targeted therapy', 'Stem cell transplant', 'Radiation therapy']"
Endometriosis,"['Hormonal therapies', 'Pain relievers', 'Surgery', 'Laparoscopy', 'GnRH agonists']"
Lyme disease,"['Antibiotics', 'Doxycycline', 'Amoxicillin', 'Cefuroxime', 'Pain relievers']"
Alopecia,"['Minoxidil', 'Finasteride', 'Corticosteroids', 'Hair transplant', 'Platelet-rich plasma']"
Plague,"['Antibiotics', 'Streptomycin', 'Tetracycline', 'Chloramphenicol', 'Supportive care']"
Rickets,"['Vitamin D supplements', 'Calcium', 'Phosphate', 'Sunlight exposure', 'Dietary modifications']"
Polio,"['Polio vaccine', 'Supportive care', 'Pain relievers', 'Physical therapy', 'Antiviral drugs (for severe cases)']"
Chlamydia,"['Antibiotics', 'Doxycycline', 'Azithromycin', 'Erythromycin', 'Probiotics']"
Scabies,"['Topical permethrin', 'Ivermectin', 'Topical corticosteroids', 'Antihistamines', 'Oral antibiotics']"
Tinnitus,"['Sound therapy', 'Antidepressants', 'Cognitive behavioral therapy', 'Antianxiety medications', 'Masking devices']"
Heart failure,"['ACE inhibitors', 'Beta-blockers', 'Diuretics', 'Aldosterone antagonists', 'Digoxin']"
Strep throat,"['Antibiotics', 'Penicillin', 'Amoxicillin', 'Pain relievers', 'Gargling with salt water']"
Anorexia,"['Nutritional counseling', 'Cognitive behavioral therapy', 'Antidepressants', 'Hospitalization (if severe)', 'Family therapy']"
Alzheimer's,"['Donepezil', 'Memantine', 'Rivastigmine', 'Galantamine', 'Cognitive therapy']"
Sepsis,"['Antibiotics', 'IV fluids', 'Vasopressors', 'Oxygen therapy', 'Supportive care']"
Tonsillitis,"['Antibiotics', 'Pain relievers', 'Warm salt water gargles', 'Tonsillectomy (if severe)', 'Corticosteroids']"
Pancreatitis,"['Pain relievers', 'Antibiotics', 'IV fluids', 'Enzyme replacements', 'Surgery (in severe cases)']"
Depression,"['Antidepressants', 'Psychotherapy', 'Cognitive behavioral therapy', 'Exercise', 'Electroconvulsive therapy (ECT)']"
Hyperlipidemia,"['Statins', 'Fibrates', 'Niacin', 'Ezetimibe', 'Omega-3 fatty acids']"
Measles,"['Vitamin A', 'Antipyretics', 'Supportive care', 'Antibiotics (for bacterial infections)', 'Hydration']"
Liver cirrhosis,"['Diuretics', 'Lactulose', 'Antiviral medications', 'Liver transplant', 'Vitamin K']"
Skin cancer,"['Surgery', 'Radiation therapy', 'Chemotherapy', 'Immunotherapy', 'Targeted therapy']"
Fungal infection,"['Antifungal medications', 'Topical creams', 'Oral antifungals', 'Antifungal shampoos', 'Antibiotics (if secondary bacterial infection)']"
Chronic disease,"['Varies by condition', 'Depends on the disease']"
Chronic migraine,"['Pain relievers', 'Antidepressants', 'Beta-blockers', 'Corticosteroids', 'Botox injections']"
Croup,"['Corticosteroids', 'Nebulized epinephrine', 'Humidifiers', 'Pain relievers', 'Antihistamines']"
Acute bronchitis,"['Cough suppressants', 'Expectorants', 'Pain relievers', 'Antibiotics (for bacterial infections)', 'Humidifiers']"
Hyperhidrosis,"['Antiperspirants', 'Botox injections', 'Oral medications', 'Iontophoresis', 'Surgery']"
Bell's palsy,"['Corticosteroids', 'Physical therapy', 'Pain relievers', 'Antiviral medications', 'Analgesics']"
Fibroids,"['Hormonal therapy', 'Surgery', 'Pain relievers', 'Hysterectomy', 'Myomectomy']"
Eczema,"['Topical corticosteroids', 'Antihistamines', 'Emollients', 'Phototherapy', 'Oral corticosteroids']"
Addison's disease,"['Hydrocortisone', 'Fludrocortisone', 'Corticosteroids', 'Salt tablets', 'Immunosuppressants']"
Astigmatism,"['Glasses', 'Contact lenses', 'Surgery (LASIK)', 'Refractive lens exchange', 'Orthokeratology']"
Gingivitis,"['Antibiotics', 'Mouthwash', 'Professional dental cleaning', 'Good oral hygiene', 'Fluoride treatment']"
Liver disease,"['Antiviral medications', 'Liver transplant', 'Diuretics', 'Nutritional support', 'Corticosteroids']"
Vertigo,"['Antihistamines', 'Anticholinergics', 'Corticosteroids', 'Benzodiazepines', 'Physical therapy']"
Chikungunya,"['Antipyretics', 'Pain relievers', 'Hydration', 'Rest', 'Antihistamines']"
Rash,"['Topical corticosteroids', 'Antihistamines', 'Antifungals', 'Calamine lotion', 'Hydrocortisone cream']"
Pneumothorax,"['Chest tube insertion', 'Oxygen therapy', 'Surgery', 'Pain relievers', 'Observation (for small pneumothorax)']"
Diarrhea,"['Oral rehydration solutions', 'Antidiarrheals', 'Antibiotics (for bacterial infections)', 'Probiotics', 'Fluid replacement']"
Hemorrhoids,"['Topical treatments', 'Fiber supplements', 'Pain relievers', 'Sitz baths', 'Surgery (if severe)']"
Diabetic neuropathy,"['Pain relievers', 'Antidepressants', 'Anticonvulsants', 'Topical treatments', 'Blood sugar control']"
Ulcerative colitis,"['Aminosalicylates', 'Corticosteroids', 'Immunosuppressants', 'Biologics', 'Antibiotics']"