Disease,Description
Fungal infection,"A fungal infection is a disease caused by fungi, which can affect the skin, nails, lungs, or other parts of the body. It can range from superficial skin infections to severe systemic conditions."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body. They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood, or adulthood, are characterized by defective bile acid transport from the liver to the intestine, caused by primary damage to the biliary epithelium."
Drug Reaction,"An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs."
Peptic ulcer disease,"Peptic ulcer disease is a condition where open sores, or ulcers, form on the inner lining of the stomach or the upper part of the small intestine. It can cause abdominal pain, nausea, and bleeding."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is the final stage of HIV infection, when the immune system becomes severely weakened, and the body is susceptible to opportunistic infections and cancers."
Diabetes,"Diabetes is a chronic condition that affects the way the body processes blood sugar (glucose). Type 1 diabetes occurs when the body doesnâ€™t produce insulin, while Type 2 diabetes occurs when the body becomes resistant to insulin."
Gastroenteritis,"Gastroenteritis is inflammation of the stomach and intestines, often caused by viral or bacterial infections. Symptoms include diarrhea, vomiting, abdominal cramps, and fever."
Bronchial Asthma,"Asthma is a condition in which the airways become inflamed and narrow, leading to difficulty breathing. Common symptoms include wheezing, coughing, and shortness of breath."
Hypertension,"Hypertension, or high blood pressure, is a condition where the force of the blood against the walls of the arteries is consistently too high, leading to an increased risk of heart disease and stroke."
Migraine,"A migraine is a neurological condition characterized by intense headaches, often accompanied by nausea, vomiting, and sensitivity to light and sound."
Cervical spondylosis,"Cervical spondylosis is age-related wear and tear on the discs in the cervical spine, which may lead to neck pain, stiffness, and possible nerve compression."
Paralysis (brain hemorrhage),"Paralysis resulting from a brain hemorrhage occurs when bleeding in or around the brain causes damage to nerve cells, leading to loss of motor function or sensation."
Jaundice,"Jaundice is a condition in which the skin, sclera (white part of the eyes), and mucous membranes turn yellow due to an excess of bilirubin in the blood."
Malaria,"Malaria is an infectious disease caused by protozoan parasites from the Plasmodium family, transmitted by the bite of the Anopheles mosquito. It causes symptoms like fever, chills, and flu-like illness."
Chicken pox,"Chickenpox is a highly contagious viral infection that causes itchy red spots and blisters all over the body. It is usually mild but can lead to complications in some cases."
Dengue,"Dengue is a mosquito-borne viral infection that causes flu-like symptoms, including high fever, severe headache, pain behind the eyes, joint and muscle pain, and skin rash."
Typhoid,"Typhoid fever is a bacterial infection caused by *Salmonella typhi*, leading to symptoms such as prolonged fever, weakness, abdominal pain, and sometimes diarrhea."
Hepatitis A,"Hepatitis A is a viral infection that affects the liver, often transmitted through contaminated food or water. It can cause symptoms like jaundice, nausea, and fatigue."
Hepatitis B,"Hepatitis B is a viral infection that attacks the liver and can cause both acute and chronic disease. It is transmitted through blood, semen, and other bodily fluids."
Hepatitis C,"Hepatitis C is a viral infection that causes inflammation of the liver and can lead to chronic liver disease or cirrhosis."
Hepatitis D,"Hepatitis D is a viral infection that requires hepatitis B to replicate and can cause more severe liver disease."
Hepatitis E,"Hepatitis E is a waterborne viral infection that causes liver inflammation, often resulting in jaundice and abdominal pain."
Alcoholic hepatitis,"Alcoholic hepatitis is liver inflammation caused by excessive alcohol consumption, leading to symptoms such as jaundice, abdominal pain, and swelling."
Tuberculosis,"Tuberculosis (TB) is a bacterial infection primarily affecting the lungs, causing symptoms like cough, weight loss, night sweats, and blood in sputum."
Common Cold,"The common cold is a viral infection of the upper respiratory tract, causing symptoms like a runny nose, sore throat, cough, and mild fever."
Pneumonia,"Pneumonia is an infection of the lungs that can cause symptoms like cough, chest pain, shortness of breath, fever, and fatigue."
Dimorphic hemorrhoids (piles),"Dimorphic hemorrhoids are swollen veins in the lower rectum or anus, leading to discomfort, itching, and in some cases, bleeding."
Heart attack,"A heart attack, or myocardial infarction, occurs when the blood supply to part of the heart muscle is blocked, leading to chest pain, shortness of breath, and other symptoms."
Varicose veins,"Varicose veins are swollen, twisted veins that are visible just under the surface of the skin, often caused by faulty valves that impair blood flow."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
Hyperthyroidism,"Hyperthyroidism is a condition in which the thyroid gland produces too much thyroid hormone, leading to symptoms like weight loss, rapid heartbeat, and increased appetite."
Hypoglycemia,"Hypoglycemia is a condition where blood sugar levels drop too low, leading to symptoms like shakiness, sweating, confusion, and irritability."
Osteoarthritis,"Osteoarthritis is a degenerative joint disease characterized by the breakdown of cartilage in the joints, leading to pain, stiffness, and reduced mobility."
Arthritis,"Arthritis is an inflammation of the joints, leading to pain, swelling, and stiffness. There are various types, including osteoarthritis and rheumatoid arthritis."
Vertigo,"Vertigo is a feeling of dizziness or spinning, often caused by inner ear problems, leading to balance issues."
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil, dead skin cells, and bacteria, leading to pimples and cysts."
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of the urinary system, including the kidneys, bladder, or urethra, causing symptoms like frequent urination, pain, and cloudy urine."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales, typically appearing on the scalp, elbows, knees, and lower back."
Impetigo,"Impetigo is a highly contagious bacterial skin infection that causes red sores or blisters, often around the nose and mouth."
Asthma,"Asthma is a chronic disease of the lungs characterized by airway inflammation, making it difficult to breathe, with symptoms like wheezing and coughing."
Diabetes,"Diabetes is a condition where the body is unable to regulate blood sugar levels properly, leading to high blood sugar and complications."
Hepatitis,"Hepatitis is inflammation of the liver, often caused by viral infections, alcohol abuse, or certain medications, leading to jaundice and abdominal pain."
Cough,"A cough is a reflex action to clear the airways of mucus, irritants, or foreign particles, often associated with respiratory infections."
Chronic bronchitis,"Chronic bronchitis is a long-term inflammation of the bronchial tubes, often caused by smoking, leading to symptoms like a persistent cough and mucus production."
Influenza,"Influenza, or the flu, is a contagious respiratory illness caused by influenza viruses, characterized by fever, chills, body aches, and fatigue."
Bronchitis,"Bronchitis is inflammation of the bronchi in the lungs, leading to symptoms such as coughing, mucus production, and shortness of breath."
Cholera,"Cholera is a bacterial infection that causes severe diarrhea and dehydration, typically spread through contaminated water."
Typhus,"Typhus is a group of infectious diseases caused by bacteria, transmitted by lice, fleas, or mites, leading to fever, rash, and sometimes organ failure."
Chickenpox,"Chickenpox is a viral infection that causes itchy red spots and blisters all over the body, highly contagious but generally mild."
Scarlet fever,"Scarlet fever is a bacterial infection that results in a red rash, sore throat, and fever, typically affecting children."
HIV,"Human Immunodeficiency Virus (HIV) weakens the immune system and makes the body susceptible to infections and diseases."
Mumps,"Mumps is a viral infection that causes swelling of the salivary glands, typically affecting children, and can lead to complications like hearing loss."
Hepatitis A,"Hepatitis A is a viral infection that affects the liver, often transmitted through contaminated food or water, causing symptoms like jaundice, nausea, and fatigue."
Hepatitis B,"Hepatitis B is a viral infection that attacks the liver and can cause both acute and chronic liver disease, transmitted through blood or bodily fluids."
Hepatitis C,"Hepatitis C is a viral infection that causes inflammation in the liver, leading to chronic liver disease if left untreated."
Leprosy,"Leprosy is a chronic infectious disease caused by *Mycobacterium leprae* that affects the skin, nerves, and mucous membranes."
Rheumatic fever,"Rheumatic fever is a complication of strep throat or scarlet fever, causing inflammation in the heart, joints, skin, and brain."
Zika virus,"Zika virus is a mosquito-borne illness that causes fever, rash, joint pain, and conjunctivitis, and can lead to birth defects in infants born to infected mothers."
West Nile virus,"West Nile virus is a mosquito-borne disease that can cause fever, headache, body aches, skin rash, and, in severe cases, neurological symptoms."
Meningitis,"Meningitis is an inflammation of the membranes surrounding the brain and spinal cord, often caused by infections, leading to symptoms like headache, fever, and neck stiffness."
Rabies,"Rabies is a viral disease transmitted through the saliva of infected animals, causing neurological symptoms like confusion, hallucinations, and paralysis."
Herpes,"Herpes is a viral infection caused by the herpes simplex virus, causing cold sores, genital sores, and other symptoms depending on the type."
Shingles,"Shingles is a reactivation of the varicella-zoster virus, causing painful blisters and a rash, typically on one side of the body."
Lupus,"Lupus is an autoimmune disease where the immune system attacks healthy tissues, causing symptoms like fatigue, joint pain, and skin rashes."
Celiac disease,"Celiac disease is an autoimmune disorder where the ingestion of gluten leads to damage to the small intestine lining."
Osteoarthritis,"Osteoarthritis is a degenerative joint disease that causes pain, stiffness, and swelling due to the wear and tear of cartilage in the joints."
Rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disease that causes inflammation and damage to the joints, leading to pain and disability."
Multiple sclerosis,"Multiple sclerosis is a disease where the immune system attacks the protective covering of nerve fibers, leading to communication problems between the brain and the body."
Parkinson's disease,"Parkinson's disease is a neurodegenerative disorder that affects movement, causing tremors, rigidity, and bradykinesia (slowness of movement)."
Alzheimer's disease,"Alzheimer's disease is a progressive neurological disorder that causes memory loss, confusion, and changes in behavior."
Ebola,"Ebola is a viral hemorrhagic fever that causes severe symptoms, including fever, vomiting, diarrhea, and bleeding."
Hantavirus,"Hantavirus is a virus transmitted by rodents that can cause severe respiratory illness known as hantavirus pulmonary syndrome."
Laryngitis,"Laryngitis is an inflammation of the larynx, causing a sore throat and loss of voice."
Tetanus,"Tetanus is a bacterial infection caused by *Clostridium tetani*, leading to muscle spasms and rigidity."
Diphtheria,"Diphtheria is a bacterial infection that affects the respiratory system, causing a thick coating in the throat that can block the airway."
Cystitis,"Cystitis is inflammation of the bladder, often caused by infection, leading to painful urination and frequent urination."
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of the urinary system, including the kidneys, bladder, or urethra."
Whooping cough,"Whooping cough is a highly contagious respiratory disease caused by *Bordetella pertussis*, characterized by violent coughing fits."
Rubella,"Rubella, or German measles, is a viral infection that causes a rash and mild fever and can cause serious complications in pregnant women."
Sinusitis,"Sinusitis is inflammation of the sinuses, causing symptoms like facial pain, nasal congestion, and headaches."
Gout,"Gout is a form of arthritis caused by excess uric acid in the blood, leading to painful inflammation, usually in the joints."
Hypertension,"Hypertension, or high blood pressure, is a condition where the blood pressure in the arteries is consistently elevated, increasing the risk of heart disease and stroke."
Anemia,"Anemia is a condition where the blood lacks enough healthy red blood cells, leading to symptoms like fatigue, weakness, and pale skin."
Panic attack,"A panic attack is a sudden onset of intense fear or discomfort, often accompanied by symptoms like chest pain, rapid heartbeat, and shortness of breath."
Chronic fatigue syndrome,"Chronic fatigue syndrome is a complex disorder characterized by persistent fatigue that doesn't improve with rest."
Epilepsy,"Epilepsy is a neurological disorder characterized by recurrent seizures due to abnormal electrical activity in the brain."
Hodgkin's lymphoma,"Hodgkin's lymphoma is a type of cancer that affects the lymphatic system, leading to symptoms like swollen lymph nodes, fever, and night sweats."
Leukemia,"Leukemia is a type of cancer that affects the blood and bone marrow, causing symptoms like fatigue, frequent infections, and easy bruising."
Cystic fibrosis,"Cystic fibrosis is a genetic disorder that affects the lungs and digestive system, leading to difficulty breathing and poor digestion."
Adenovirus,"Adenovirus is a group of viruses that cause respiratory, gastrointestinal, and eye infections, particularly in children."
Sickle cell disease,"Sickle cell disease is a genetic blood disorder where red blood cells become shaped like a crescent, leading to pain, anemia, and other complications."
Gastroesophageal reflux disease (GERD),"Gastroesophageal reflux disease (GERD) is a digestive disorder in which stomach acid or bile irritates the food pipe lining."
Bipolar disorder,"Bipolar disorder is a mental health condition characterized by extreme mood swings, including emotional highs (mania or hypomania) and lows (depression)."
Osteoporosis,"Osteoporosis is a condition where bones become weak and brittle, increasing the risk of fractures."
Schizophrenia,"Schizophrenia is a severe mental disorder that affects a person's thinking, emotions, and behavior, leading to symptoms like hallucinations and delusions."
Acid reflux,"Acid reflux occurs when stomach acid or bile irritates the food pipe lining, leading to symptoms like heartburn and regurgitation."
Hernia,"A hernia is a bulging of an organ or tissue through an abnormal opening in the body, typically in the abdominal area."
Irritable bowel syndrome (IBS),"Irritable bowel syndrome is a functional gastrointestinal disorder that causes symptoms like abdominal pain, bloating, and changes in bowel habits."
Anxiety disorder,"Anxiety disorder is a mental health condition characterized by excessive fear, worry, or nervousness that interferes with daily activities."
Chronic kidney disease,"Chronic kidney disease is a gradual loss of kidney function, which can lead to kidney failure and other complications."
Lung cancer,"Lung cancer is a type of cancer that begins in the lungs, causing symptoms like persistent cough, chest pain, and difficulty breathing."
Coronary artery disease,"Coronary artery disease is a condition where the coronary arteries become narrowed or blocked, reducing blood flow to the heart muscle."
Cirrhosis,"Cirrhosis is severe liver damage caused by conditions like chronic alcohol abuse or hepatitis, leading to liver dysfunction."
Gallstones,"Gallstones are hardened deposits of bile that can form in the gallbladder and cause pain, nausea, and other symptoms."
Chronic pain,"Chronic pain is long-term pain that persists beyond the usual recovery time, often due to an underlying condition."
Liver fibrosis,"Liver fibrosis is the accumulation of scar tissue in the liver, often caused by chronic liver diseases like hepatitis."
Pelvic inflammatory disease,"Pelvic inflammatory disease is an infection of the female reproductive organs, often caused by sexually transmitted infections."
Fibromyalgia,"Fibromyalgia is a chronic disorder characterized by widespread pain, fatigue, and other symptoms like sleep disturbances."
COPD,"Chronic obstructive pulmonary disease (COPD) is a group of lung diseases that cause breathing difficulties, including emphysema and chronic bronchitis."
Parkinson's,"Parkinson's disease is a progressive neurological disorder that causes tremors, rigidity, and bradykinesia (slowness of movement)."
Cushing's syndrome,"Cushing's syndrome is a condition caused by excessive cortisol production, leading to weight gain, high blood pressure, and other symptoms."
Bacterial vaginosis,"Bacterial vaginosis is an imbalance of bacteria in the vagina, leading to symptoms like unusual discharge and odor."
Chronic lymphocytic leukemia,"Chronic lymphocytic leukemia is a cancer of the bone marrow and blood, causing symptoms like fatigue, swollen lymph nodes, and weight loss."
Endometriosis,"Endometriosis is a condition in which tissue similar to the lining of the uterus grows outside the uterus, causing pain and infertility."
Lyme disease,"Lyme disease is an infectious disease caused by *Borrelia* bacteria, transmitted by tick bites, causing symptoms like a rash, fever, and fatigue."
Alopecia,"Alopecia is a condition that causes hair loss, typically in small, round patches, due to autoimmune attacks on hair follicles."
Plague,"Plague is a severe bacterial infection transmitted by fleas, causing symptoms like fever, swollen lymph nodes, and sepsis."
Rickets,"Rickets is a condition caused by vitamin D deficiency, leading to weakened bones, skeletal deformities, and delayed growth."
Polio,"Polio is a viral infection that can cause paralysis and is largely eradicated through vaccination."
Chlamydia,"Chlamydia is a sexually transmitted bacterial infection that can cause urinary symptoms, vaginal discharge, and pelvic pain."
Scabies,"Scabies is a skin condition caused by tiny mites, leading to intense itching and rash."
Tinnitus,"Tinnitus is the perception of ringing or buzzing in the ears without an external sound, often caused by hearing loss or ear infections."
Heart failure,"Heart failure is a condition in which the heart is unable to pump blood effectively, leading to symptoms like shortness of breath, fatigue, and swelling."
Strep throat,"Strep throat is a bacterial infection caused by *Streptococcus* bacteria, leading to a sore throat, fever, and swollen lymph nodes."
Anorexia,"Anorexia is an eating disorder characterized by an intense fear of gaining weight and a distorted body image."
Alzheimer's,"Alzheimer's is a neurodegenerative disease that causes memory loss, confusion, and changes in behavior, particularly in older adults."
Sepsis,"Sepsis is a life-threatening condition caused by the body's response to an infection, leading to widespread inflammation, organ failure, and tissue damage."
Tonsillitis,"Tonsillitis is the inflammation of the tonsils, often caused by viral or bacterial infections, leading to a sore throat and difficulty swallowing."
Pancreatitis,"Pancreatitis is an inflammation of the pancreas, leading to symptoms like severe abdominal pain, nausea, and vomiting."
Depression,"Depression is a mental health disorder characterized by persistent sadness, loss of interest, and other symptoms like fatigue, changes in appetite, and feelings of worthlessness."
Hyperlipidemia,"Hyperlipidemia is an elevated level of lipids (fats) in the blood, which can increase the risk of heart disease and stroke."
Measles,"Measles is a highly contagious viral infection that causes symptoms like a rash, fever, and cough."
Liver cirrhosis,"Liver cirrhosis is scarring of the liver tissue due to long-term liver damage, often caused by alcohol abuse, hepatitis, or fatty liver disease."
Skin cancer,"Skin cancer is a type of cancer that forms in the skin cells, with common types being melanoma, basal cell carcinoma, and squamous cell carcinoma."
Fungal infection,"A fungal infection is an infection caused by fungi, leading to symptoms like itching, redness, and inflammation. Common types include athlete's foot, ringworm, and candidiasis."
Chronic disease,"Chronic diseases are long-lasting conditions that can be controlled but not cured, such as heart disease, diabetes, and arthritis."
Chronic migraine,"Chronic migraines are a type of headache that occurs frequently (more than 15 days a month) and can cause severe pain, nausea, and sensitivity to light."
Croup,"Croup is a viral infection in young children that causes a barking cough and difficulty breathing."
Acute bronchitis,"Acute bronchitis is an inflammation of the bronchi in the lungs, often caused by a viral infection, leading to coughing, wheezing, and difficulty breathing."
Hyperhidrosis,"Hyperhidrosis is a condition characterized by excessive sweating, often in the hands, feet, and underarms."
Bell's palsy,"Bell's palsy is a sudden, temporary weakness or paralysis of the muscles on one side of the face, often caused by viral infections."
Fibroids,"Fibroids are noncancerous growths in the uterus that can cause symptoms like heavy periods, pelvic pain, and frequent urination."
Eczema,"Eczema is a skin condition characterized by dry, itchy patches, often due to an allergic reaction or sensitivity to certain substances."
Addison's disease,"Addison's disease is a disorder of the adrenal glands, leading to symptoms like fatigue, weight loss, and low blood pressure."
Astigmatism,"Astigmatism is a refractive error in the eye, causing blurred or distorted vision due to an irregularly shaped cornea or lens."
Gingivitis,"Gingivitis is a common and mild form of gum disease that causes irritation, redness, and swelling of your gums."
Liver disease,"Liver disease refers to a range of conditions that affect the liver, including cirrhosis, hepatitis, and fatty liver disease."
Vertigo,"Vertigo is a sensation of spinning or dizziness, often caused by inner ear problems or vestibular system dysfunction."
Chikungunya,"Chikungunya is a mosquito-borne viral disease that causes fever, joint pain, and rash."
Rash,"A rash is a change in the skin's appearance or texture, often caused by an allergic reaction, infection, or other skin conditions."
Pneumothorax,"Pneumothorax is the collapse of a lung due to air leakage into the space between the lung and chest wall, leading to sudden chest pain and difficulty breathing."
Diarrhea,"Diarrhea is the condition of having frequent, loose, or watery bowel movements, often caused by infections, food intolerances, or other gastrointestinal issues."
Hemorrhoids,"Hemorrhoids are swollen blood vessels in the rectum or anus, leading to pain, itching, and rectal bleeding."
Diabetic neuropathy,"Diabetic neuropathy is nerve damage caused by long-term high blood sugar levels, leading to symptoms like numbness, pain, and tingling in the extremities."
Ulcerative colitis,"Ulcerative colitis is a chronic inflammatory bowel disease that causes inflammation and ulcers in the colon and rectum, leading to symptoms like diarrhea and abdominal pain."